$ bash scripts/test.sh
Running: go test -timeout 3m ./...
Skipping: 

ok  	github.com/steveyegge/beads	0.120s
ok  	github.com/steveyegge/beads/cmd/bd	23.737s
ok  	github.com/steveyegge/beads/cmd/bd/doctor	2.038s
ok  	github.com/steveyegge/beads/cmd/bd/doctor/fix	1.047s
ok  	github.com/steveyegge/beads/cmd/bd/setup	0.025s
ok  	github.com/steveyegge/beads/internal/audit	0.004s
ok  	github.com/steveyegge/beads/internal/autoimport	0.022s
ok  	github.com/steveyegge/beads/internal/beads	0.217s
ok  	github.com/steveyegge/beads/internal/compact	0.006s
ok  	github.com/steveyegge/beads/internal/config	0.030s
ok  	github.com/steveyegge/beads/internal/configfile	0.003s
ok  	github.com/steveyegge/beads/internal/daemon	0.115s
ok  	github.com/steveyegge/beads/internal/debug	0.005s
ok  	github.com/steveyegge/beads/internal/export	0.124s
ok  	github.com/steveyegge/beads/internal/git	0.769s
ok  	github.com/steveyegge/beads/internal/hooks	1.122s
ok  	github.com/steveyegge/beads/internal/idgen	0.003s
ok  	github.com/steveyegge/beads/internal/importer	1.647s
ok  	github.com/steveyegge/beads/internal/jsonlpub	0.072s
ok  	github.com/steveyegge/beads/internal/linear	0.005s
ok  	github.com/steveyegge/beads/internal/lockfile	0.005s
ok  	github.com/steveyegge/beads/internal/merge	0.005s
ok  	github.com/steveyegge/beads/internal/molecules	0.212s
ok  	github.com/steveyegge/beads/internal/routing	0.002s
ok  	github.com/steveyegge/beads/internal/rpc	4.454s
?   	github.com/steveyegge/beads/internal/storage	[no test files]
ok  	github.com/steveyegge/beads/internal/storage/memory	0.003s
ok  	github.com/steveyegge/beads/internal/storage/sqlite	26.499s
?   	github.com/steveyegge/beads/internal/storage/sqlite/migrations	[no test files]
ok  	github.com/steveyegge/beads/internal/syncbranch	0.392s
ok  	github.com/steveyegge/beads/internal/testutil	0.002s
?   	github.com/steveyegge/beads/internal/testutil/fixtures	[no test files]
ok  	github.com/steveyegge/beads/internal/types	0.005s
?   	github.com/steveyegge/beads/internal/ui	[no test files]
ok  	github.com/steveyegge/beads/internal/util	0.002s
ok  	github.com/steveyegge/beads/internal/utils	0.005s
ok  	github.com/steveyegge/beads/internal/validation	0.003s
exit=0
