Running: go test -timeout 3m ./...
Skipping: 

ok  	github.com/steveyegge/beads	0.152s
ok  	github.com/steveyegge/beads/cmd/bd	22.187s
ok  	github.com/steveyegge/beads/cmd/bd/doctor	1.879s
ok  	github.com/steveyegge/beads/cmd/bd/doctor/fix	0.862s
ok  	github.com/steveyegge/beads/cmd/bd/setup	(cached)
ok  	github.com/steveyegge/beads/internal/audit	0.006s
ok  	github.com/steveyegge/beads/internal/autoimport	0.018s
ok  	github.com/steveyegge/beads/internal/beads	0.201s
ok  	github.com/steveyegge/beads/internal/compact	0.006s
ok  	github.com/steveyegge/beads/internal/config	(cached)
ok  	github.com/steveyegge/beads/internal/configfile	(cached)
ok  	github.com/steveyegge/beads/internal/daemon	0.115s
ok  	github.com/steveyegge/beads/internal/debug	(cached)
ok  	github.com/steveyegge/beads/internal/export	(cached)
ok  	github.com/steveyegge/beads/internal/git	0.717s
ok  	github.com/steveyegge/beads/internal/hooks	1.122s
ok  	github.com/steveyegge/beads/internal/idgen	(cached)
ok  	github.com/steveyegge/beads/internal/importer	1.538s
ok  	github.com/steveyegge/beads/internal/jsonlpub	0.085s
ok  	github.com/steveyegge/beads/internal/linear	0.005s
ok  	github.com/steveyegge/beads/internal/lockfile	(cached)
ok  	github.com/steveyegge/beads/internal/merge	0.006s
ok  	github.com/steveyegge/beads/internal/molecules	0.215s
ok  	github.com/steveyegge/beads/internal/routing	(cached)
ok  	github.com/steveyegge/beads/internal/rpc	4.305s
?   	github.com/steveyegge/beads/internal/storage	[no test files]
ok  	github.com/steveyegge/beads/internal/storage/memory	0.003s
ok  	github.com/steveyegge/beads/internal/storage/sqlite	24.569s
?   	github.com/steveyegge/beads/internal/storage/sqlite/migrations	[no test files]
ok  	github.com/steveyegge/beads/internal/syncbranch	0.425s
ok  	github.com/steveyegge/beads/internal/testutil	(cached)
?   	github.com/steveyegge/beads/internal/testutil/fixtures	[no test files]
ok  	github.com/steveyegge/beads/internal/types	0.006s
?   	github.com/steveyegge/beads/internal/ui	[no test files]
ok  	github.com/steveyegge/beads/internal/util	(cached)
ok  	github.com/steveyegge/beads/internal/utils	0.008s
ok  	github.com/steveyegge/beads/internal/validation	(cached)
